audiofile,audiofile2,audiofile3,country,documentationscore,eastlimit,grammar15,iso6393,latitude,lexicon15,linktext2,linkurl2,longitude,name,northlimit,numberofspeakers,numSpeakers,region,southlimit,texts15,title,westlimit,linktext4,linkurl4,linktext,linktext3,linkurl,linkurl3
,,,Vanuatu,6,NULL,1,krf,-14.35753,0,See OLAC information about Koro,http://www.language-archives.org/language/krf,167.470093,Koro,NULL,160,0.01,pacific,NULL,3,Koro,NULL,See the wikipedia entry for Koro,http://en.wikipedia.org/wiki/Koro_language,,,,
,,,Vanuatu,0,167.135,0,nrg,-15.576742,0,See OLAC information about Narango,http://www.language-archives.org/language/nrg,167.086945,Narango,-15.447,160,0.01,pacific,-15.603,0,Narango,166.959,See the wikipedia entry for Narango,http://en.wikipedia.org/wiki/Narango_language,,,,
,,,Vanuatu,0,166.68,0,nkk,-14.97132,0,See OLAC information about Nokuku,http://www.language-archives.org/language/nkk,166.631012,Nokuku,-14.795,160,0.01,pacific,-15.003,0,Nokuku,166.525,See the wikipedia entry for Nokuku,http://en.wikipedia.org/wiki/Nokuku_language,,,,
,,,Vanuatu,12,166.603,3,hiw,-13.143009,2,See OLAC information about Hiw,http://www.language-archives.org/language/hiw,166.565094,Hiw,-13.073,150,0.01,pacific,-13.244,3,Hiw,166.53,See the wikipedia entry for Hiw,http://en.wikipedia.org/wiki/Hiw_language,,,,
,,,Vanuatu,0,166.988,0,mrp,-15.399404,0,See OLAC information about Morouas,http://www.language-archives.org/language/mrp,166.977081,Morouas,-15.275,150,0.01,pacific,-15.412,0,Morouas,166.793,See the wikipedia entry for Morouas,http://en.wikipedia.org/wiki/Morouas_language,,,,
,,,Vanuatu,0,166.797,0,ptr,-15.057537,0,See OLAC information about Piamatsina,http://www.language-archives.org/language/ptr,166.772461,Piamatsina,-14.895,150,0.01,pacific,-15.098,0,Piamatsina,166.68,See the wikipedia entry for Piamatsina,http://en.wikipedia.org/wiki/Piamatsina_language,,,,
,,,Vanuatu,0,166.732,0,tmt,-15.139741,0,See OLAC information about Tasmate,http://www.language-archives.org/language/tmt,166.68457,Tasmate,-14.953,150,0.01,pacific,-15.226,0,Tasmate,166.596,See the wikipedia entry for Tasmate,http://en.wikipedia.org/wiki/Tasmate_language,,,,
,,,Vanuatu,0,166.936,0,wlr,-15.432501,0,See OLAC information about Wailapa,http://www.language-archives.org/language/wlr,167.706299,Wailapa,-15.54,100,0.01,pacific,-15.599,0,Wailapa,166.868,See the wikipedia entry for Wailapa,http://en.wikipedia.org/wiki/Wailapa_language,,,,
,,,Vanuatu,0,167.659,0,rpn,-16.392614,0,See OLAC information about Repanbitip,http://www.language-archives.org/language/rpn,167.541504,Repanbitip,-16.296,90,0.01,pacific,-16.375,0,Repanbitip,167.579,See the wikipedia entry for Repanbitip,http://en.wikipedia.org/wiki/Repanbitip_language,,,,
,,,Vanuatu,0,166.915,0,rga,-15.47221,0,See OLAC information about Roria,http://www.language-archives.org/language/rga,166.887817,Roria,-15.363,75,0.01,pacific,-15.442,0,Roria,166.771,See the wikipedia entry for Roria,http://en.wikipedia.org/wiki/Roria_language,,,,
,,,Vanuatu,0,167.586,0,dix,-16.347815,0,See OLAC information about Dixon Reef,http://www.language-archives.org/language/dix,167.416534,Dixon Reef,-16.241,50,0.00,pacific,-16.382,0,Dixon Reef,167.445,See the wikipedia entry for Dixon Reef,http://en.wikipedia.org/wiki/Dixon_Reef_language,,,,
,,,Vanuatu,0,167.194,0,tls,-15.498679,0,See OLAC information about Tambotalo,http://www.language-archives.org/language/tls,167.206421,Tambotalo,-15.449,50,0.00,pacific,-15.554,0,Tambotalo,167.084,See the wikipedia entry for Tambotalo,http://en.wikipedia.org/wiki/Tambotalo_language,,,,
,,,Vanuatu,1,168.309,1,brj,-16.79731,0,See OLAC information about Bieria,http://www.language-archives.org/language/brj,168.238449,Bieria,-16.75,25,0.00,pacific,-16.824,0,Bieria,168.156,See the wikipedia entry for Bieria,http://en.wikipedia.org/wiki/Bieria_language,,,,
,,,Vanuatu,0,168.209,0,sww,-15.81736,0,See OLAC information about Sowa,http://www.language-archives.org/language/sww,168.181458,Sowa,-15.806,20,0.00,pacific,-15.846,0,Sowa,168.164,See the wikipedia entry for Sowa,http://en.wikipedia.org/wiki/Sowa_language,,,,
TC6-002-A,,,Vanuatu,10,167.362,4,mrs,-16.072207,3,See OLAC information about Maragus,http://www.language-archives.org/language/mrs,167.33963,Maragus,-16.032,15,0.00,pacific,-16.108,3,Maragus,167.298,See the wikipedia entry for Maragus,http://en.wikipedia.org/wiki/Maragus_language,,,,
TC2-005-A,,,Vanuatu,11,167.462,5,lzl,-16.152688,3,See OLAC information about Naman,http://www.language-archives.org/language/lzl,167.44812,Naman,-16.088,15,0.00,pacific,-16.176,3,Naman,167.368,See the wikipedia entry for Naman,http://en.wikipedia.org/wiki/Naman_language,,,,
CH1-200206-A,,,Vanuatu,10,167.589,1,msn,-13.900607,2,See OLAC information about Mwesen,http://www.language-archives.org/language/msn,167.533404,Mwesen,-13.838,10,0.00,pacific,-13.95,3,Mwesen,167.442,See the wikipedia entry for Mwesen,http://en.wikipedia.org/wiki/Mwesen_language,See a story in Mwesen,,http://alex.francois.free.fr/AFtxt_msn-kpwet_e.htm,
,,,Vanuatu,17,166.952,5,akr,-15.633948,4,See OLAC information about Araki,http://www.language-archives.org/language/akr,166.953392,Araki,-15.624,8,0.00,pacific,-15.64,4,Araki,166.933,See the wikipedia entry for Araki,http://en.wikipedia.org/wiki/Araki_language,See stories in Araki,See a dictionary of Araki,http://lacito.vjf.cnrs.fr/archivage/languages/Araki.htm#texts,http://alex.francois.free.fr/Lex/Araki-Lexicon/lexicon/main.htm
TC8-004-A,AC1-225-A,,Vanuatu,3,NULL,2,uur,-18.729502,1,See OLAC information about Ura,http://www.language-archives.org/language/uur,169.072723,Ura,NULL,6,0.00,pacific,NULL,0,Ura,NULL,See the wikipedia entry for Ura,http://en.wikipedia.org/wiki/Ura_language,,,,
,,,Vanuatu,0,167.454,0,nvh,-16.297733,0,See OLAC information about Nasarian,http://www.language-archives.org/language/nvh,167.545624,Nasarian,-16.309,5,0.00,pacific,-16.393,0,Nasarian,167.374,See the wikipedia entry for Nasarian,http://en.wikipedia.org/wiki/Nasarian_language,,,,
,,,Vanuatu,8,NULL,1,olr,-14.327594,1,See OLAC information about Olrat,http://www.language-archives.org/language/olr,167.44091,Olrat,NULL,3,0.00,pacific,NULL,3,Olrat,NULL,See the wikipedia entry for Olrat,http://en.wikipedia.org/wiki/Olrat_language,,,,
,,,Vanuatu,9,NULL,1,lrz,-13.760061,1,See OLAC information about Lemerig,http://www.language-archives.org/language/lrz,167.419281,Lemerig,NULL,2,0.00,pacific,NULL,3,Lemerig,NULL,See the wikipedia entry for Lemerig,http://en.wikipedia.org/wiki/Lemerig_language,,,,
,,,Vanuatu,7,,2,mlv,-13.654682,1,See OLAC information about Volow,http://www.language-archives.org/language/mlv,167.706642,Volow,,1,0.00,pacific,,2,Volow,,See the wikipedia entry for Volow,http://en.wikipedia.org/wiki/Volow_language,,,,
,,,Vanuatu,0,167.217,0,aor,-15.587325,0,See OLAC information about Aore,http://www.language-archives.org/language/aor,167.183075,Aore,-15.531,0,0.00,pacific,-15.61,0,Aore,167.116,See the wikipedia entry for Aore,http://en.wikipedia.org/wiki/Aore_language,,,,
,,,Vanuatu,0,NULL,0,iff,-18.911483,0,See OLAC information about Ifo,http://www.language-archives.org/language/iff,169.227905,Ifo,NULL,0,0.00,pacific,NULL,0,Ifo,NULL,See the wikipedia entry for Ifo,http://en.wikipedia.org/wiki/Ifo_language,,,,
