audiofile,audiofile2,audiofile3,country,documentationscore,eastlimit,grammar15,iso6393,latitude,lexicon15,linktext2,linkurl2,longitude,name,northlimit,numberofspeakers,numSpeakers,region,southlimit,texts15,title,westlimit,linktext4,linkurl4,linktext,linktext3,linkurl,linkurl3
,,,Vanuatu,4,167.326,4,nmb,-16.110473,0,See OLAC information about V’ėnen Taut,http://www.language-archives.org/language/nmb,167.240753,V'ënen Taut,-16.013,3350,0.29,pacific,-16.169,0,V'ënen Taut,167.153,See the wikipedia entry for V’ėnen Taut,http://en.wikipedia.org/wiki/V’ėnen_Taut_language,,,,
,,,Vanuatu,0,168.272,,sax,-15.975852,,See OLAC information about Saa,http://www.language-archives.org/language/sax,168.229523,Saa,-15.89,2500,0.22,pacific,-16.013,,Saa,168.184,See the wikipedia entry for Saa,http://en.wikipedia.org/wiki/Saa_language,,,,
,,,Vanuatu,5,168.487,5,lww,-16.79731,,See OLAC information about Lewo,http://www.language-archives.org/language/lww,168.45,Lewo,-16.582,2200,0.19,pacific,-16.846,0,Lewo,168.182,See the wikipedia entry for Lewo,http://en.wikipedia.org/wiki/Lewo_language,,,,
,,,Vanuatu,15,167.721,4,mlv,-13.708576,3,See OLAC information about Mwotlap,http://www.language-archives.org/language/mlv,167.624631,Mwotlap,-13.63,2200,0.19,pacific,-13.748,3,Mwotlap,167.466,See the wikipedia entry for Mwotlap,http://en.wikipedia.org/wiki/Mwotlap_language,See a story in Mwotlap,,http://alex.francois.free.fr/AFtxt_mtp-romanmangan_e.htm,
TC7-007-A,AC1-225-A,,Vanuatu,13,169.345,5,erg,-18.910184,4,See OLAC information about Sie,http://www.language-archives.org/language/erg,169.205933,Sie,-18.687,1900,0.17,pacific,-19,1,Sie,168.988,See the wikipedia entry for Sie,http://en.wikipedia.org/wiki/Sie_language,,,,
,,,Vanuatu,0,167.309,0,vao,-15.925677,0,See OLAC information about Vao,http://www.language-archives.org/language/vao,167.290192,Vao,-15.89,1900,0.17,pacific,-15.94,0,Vao,167.248,See the wikipedia entry for Vao,http://en.wikipedia.org/wiki/Vao_language,,,,
,,,Vanuatu,5,168.069,2,mrm,-14.465267,1,See OLAC information about Mwerlap,http://www.language-archives.org/language/mrm,168.038635,Mwerlap,-14.406,1550,0.13,pacific,-14.437,1,Mwerlap,168.029,See the wikipedia entry for Mwerlap,http://en.wikipedia.org/wiki/Mwerlap_language,,,,
,,,Vanuatu,11,170.235,2,fut,-19.256701,3,See OLAC information about Futuna-Aniwa,http://www.language-archives.org/language/fut,169.604187,Futuna-Aniwa,-19.224,1500,0.13,pacific,-19.547,4,Futuna-Aniwa,169.586,See the wikipedia entry for Futuna-Aniwa,http://en.wikipedia.org/wiki/Futuna-Aniwa_language,,,,
,,,Vanuatu,0,168.165,0,mwo,-15.17553,0,See OLAC information about Central Maewo,http://www.language-archives.org/language/mwo,168.125153,Central Maewo,-15.026,1400,0.12,pacific,-15.139,0,Central Maewo,168.104,See the wikipedia entry for Central Maewo,http://en.wikipedia.org/wiki/Central_Maewo_language,,,,
,,,Vanuatu,8,168.148,5,mrb,-14.988566,2,See OLAC information about Sungwadia,http://www.language-archives.org/language/mrb,168.085327,Sungwadia,-14.916,1400,0.12,pacific,-15.03,1,Sungwadia,168.092,See the wikipedia entry for Sungwadia,http://en.wikipedia.org/wiki/Sungwadia_language,,,,
,,,Vanuatu,0,168.198,0,btr,-15.30538,0,See OLAC information about Baetora,http://www.language-archives.org/language/btr,168.149872,Baetora,-15.111,1330,0.12,pacific,-15.406,0,Baetora,168.12,See the wikipedia entry for Baetora,http://en.wikipedia.org/wiki/Baetora_language,,,,
,,,Vanuatu,5,168.12,,ptv,-16.325411,,See OLAC information about Daakie,http://www.language-archives.org/language/ptv,168.052368,Daakie,-16.247,1300,0.11,pacific,-16.366,,Daakie,167.972,See the wikipedia entry for Daakie,http://en.wikipedia.org/wiki/Daakie_language,,,,
,,,Vanuatu,15,168.107,5,bpa,-16.297733,2,See OLAC information about Daakaka,http://www.language-archives.org/language/bpa,167.997437,Daakaka,-16.246,1200,0.10,pacific,-16.302,3,Daakaka,167.919,See the wikipedia entry for Daakaka,http://en.wikipedia.org/wiki/Dakaka_language,,,,
,,,Vanuatu,6,167.833,4,psw,-16.471646,2,See OLAC information about Lamap,http://www.language-archives.org/language/psw,167.79007,Lamap,-16.418,1200,0.10,pacific,-16.515,0,Lamap,167.729,See the wikipedia entry for Lamap,http://en.wikipedia.org/wiki/Port_Sandwich_language,,,,
,,,Vanuatu,6,168.12,3,crc,-16.233135,3,See OLAC information about Raljago,http://www.language-archives.org/language/crc,167.965851,Raljago,-16.193,1200,0.10,pacific,-16.265,0,Raljago,167.912,See the wikipedia entry for Lonwolwol,http://en.wikipedia.org/wiki/Lonwolwol_language,,,,
