CLICS Form,Variety,ISO CODE,Family,Form in source,Gloss in source,Dataset,latitude,longitude
kou24phlu33,LiHa,,Austroasiatic,kou.24 phlu.33,yam,Intercontinental Dictionary Series,,
kwaj33phl@j33,LiHa,,Austroasiatic,kwa:j.33 phləj.33,yam,Intercontinental Dictionary Series,,
kwaj33t@i43,LiHa,,Austroasiatic,kwa:j.33 təɨ.43,yam,Intercontinental Dictionary Series,,
kwaj24,Phong,,Austroasiatic,kwa:j.24,yam,Intercontinental Dictionary Series,,
phlw33,Tum,,Austroasiatic,phlw.33,yam,Intercontinental Dictionary Series,,
kapw33,Kha Poong,,Austroasiatic,kapw.33,yam,Intercontinental Dictionary Series,,
madw33,Kha Poong,,Austroasiatic,madw.33,yam,Intercontinental Dictionary Series,,
teng33,Kha Poong,,Austroasiatic,tɛ:ŋ.33ʔ,yam,Intercontinental Dictionary Series,,
kw434ti22,Malieng,,Austroasiatic,kw.434 tɨ.22,yam,Intercontinental Dictionary Series,,
khuaimanonb,Ahlao Th,,Austroasiatic,khu̯ai̯ măn ʔɔnʔ.B,yam,Intercontinental Dictionary Series,,
fajthettn,Nyakur,,Austroasiatic,fâ:j the:t T+N,yam,Intercontinental Dictionary Series,,
mankew,Nyakur,,Austroasiatic,mankɛ:w,yam,Intercontinental Dictionary Series,,
olatehc,Kasong,,Austroasiatic,ʔo:l.A te:h.C,yam,Intercontinental Dictionary Series,,
urakewa,Samre,sxm,Austroasiatic,ʔu:r.A kɛ:w.A,yam,Intercontinental Dictionary Series,13.479,103.978
tungathetc,Chong,cog,Austroasiatic,tuŋ.A the:t.C,yam,Intercontinental Dictionary Series,12.5218,102.514
tlongchwi@,KNB (a Pearic variety),,Austroasiatic,tlo:ŋ chwi:ə,yam,Intercontinental Dictionary Series,,
plaphaw,Iduh,,Austroasiatic,plâ: phâw,yam,Intercontinental Dictionary Series,,
jia31tong35,Mang Ch,,Austroasiatic,jɨa.31 toŋ.35,yam,Intercontinental Dictionary Series,,
ppnufi,Proto Polynesian,,Austronesian,PPN *ʔufi,yam,Intercontinental Dictionary Series,,
qufi,Proto Polynesian,,Austronesian,*qufi,yam,Intercontinental Dictionary Series,,
uhi,Hawaiian,haw,Austronesian,uhi,yam,Intercontinental Dictionary Series,19.6297,-155.43
