CLICS Form,Variety,ISO CODE,Family,Form in source,Gloss in source,Dataset,latitude,longitude,Number
alam,sam,snx,Nuclear Trans New Guinea,alam,yam,Madang Comparative Wordlists,-5.55572,145.813,0.548504883076099
sambi,sam,snx,Nuclear Trans New Guinea,sambi,yam,Madang Comparative Wordlists,-5.55572,145.813,0.312706608879578
ara,samosa,swm,Nuclear Trans New Guinea,ara,yam,Madang Comparative Wordlists,-5.01391,145.537,0.142397352997293
gere,samosa,swm,Nuclear Trans New Guinea,gere,yam,Madang Comparative Wordlists,-5.01391,145.537,0.676776532775173
o,saruga,sra,Nuclear Trans New Guinea,o,yam,Madang Comparative Wordlists,-5.08824,145.578,0.71926809457946
savela,saruga,sra,Nuclear Trans New Guinea,savela,yam,Madang Comparative Wordlists,-5.08824,145.578,0.740594637378953
nbo,sausi,ssj,Nuclear Trans New Guinea,nʌːbo,yam,Madang Comparative Wordlists,-5.6873,145.492,0.197555718856442
ou,sausi,ssj,Nuclear Trans New Guinea,ou,yam,Madang Comparative Wordlists,-5.6873,145.492,0.797887560739294
mark,sihan,snr,Nuclear Trans New Guinea,marʌk,yam,Madang Comparative Wordlists,-5.28029,145.574,0.088075348942392
o,sihan,snr,Nuclear Trans New Guinea,ʔo,yam,Madang Comparative Wordlists,-5.28029,145.574,0.376923865726223
siwr,sihan,snr,Nuclear Trans New Guinea,siwʌr,yam,Madang Comparative Wordlists,-5.28029,145.574,0.86782324751967
kuni,sileibi,sbq,Nuclear Trans New Guinea,kuñi,yam,Madang Comparative Wordlists,-4.98243,145.225,0.903284802631485
nam,sileibi,sbq,Nuclear Trans New Guinea,ñam,yam,Madang Comparative Wordlists,-4.98243,145.225,0.989328531728203
kakr,silopi,xsp,Nuclear Trans New Guinea,kakʌr,yam,Madang Comparative Wordlists,-5.12302,145.586,0.606584367015405
o,silopi,xsp,Nuclear Trans New Guinea,ʔo,yam,Madang Comparative Wordlists,-5.12302,145.586,0.890052093066617
hou,sinsauru,snz,Nuclear Trans New Guinea,hou,yam,Madang Comparative Wordlists,-5.64336,145.599,0.637824221044741
tebel,sinsauru,snz,Nuclear Trans New Guinea,tɛbɛl,yam,Madang Comparative Wordlists,-5.64336,145.599,0.345444515919385
marang,siroi,ssd,Nuclear Trans New Guinea,mar̃aŋ,yam,Madang Comparative Wordlists,-5.52893,145.994,0.715046612491315
ngaad,siroi,ssd,Nuclear Trans New Guinea,ŋaʔad,yam,Madang Comparative Wordlists,-5.52893,145.994,0.219110438567377
deig,sop,urw,Nuclear Trans New Guinea,deig,yam,Madang Comparative Wordlists,-5.49605,145.361,0.536849268295427
gegu,sop,urw,Nuclear Trans New Guinea,gɛːgu,yam,Madang Comparative Wordlists,-5.49605,145.361,0.132663157764405
kib,sop,urw,Nuclear Trans New Guinea,kibʌ,yam,Madang Comparative Wordlists,-5.49605,145.361,0.393510806207938
iba,sumau,six,Nuclear Trans New Guinea,iba,yam,Madang Comparative Wordlists,-5.48556,145.474,0.0567448318654197
murk,sumau,six,Nuclear Trans New Guinea,murʌk,yam,Madang Comparative Wordlists,-5.48556,145.474,0.698313537325179
niomo,tauya,tya,Nuclear Trans New Guinea,niomo,yam,Madang Comparative Wordlists,-5.74255,145.366,0.132355298071535
onamo,tauya,tya,Nuclear Trans New Guinea,onamo,yam,Madang Comparative Wordlists,-5.74255,145.366,0.24106680264687
kea,ukuriguma,ukg,Nuclear Trans New Guinea,kea,yam,Madang Comparative Wordlists,-4.94407,145.514,0.427022306427496
zaberam,ukuriguma,ukg,Nuclear Trans New Guinea,zaberam,yam,Madang Comparative Wordlists,-4.94407,145.514,0.427201469110735
dembere,urigina,urg,Nuclear Trans New Guinea,dɛːmbɛrɛ,yam,Madang Comparative Wordlists,-5.58982,145.507,0.986660789064715
kome,urigina,urg,Nuclear Trans New Guinea,ko:me,yam,Madang Comparative Wordlists,-5.58982,145.507,0.595387841313773
mni,usan,wnu,Nuclear Trans New Guinea,mʌni,yam,Madang Comparative Wordlists,-4.84265,145.362,0.858547918256234
tan,usan,wnu,Nuclear Trans New Guinea,tan,yam,Madang Comparative Wordlists,-4.84265,145.362,0.934537802547918
mo,utarmbung,omo,Nuclear Trans New Guinea,mo-,yam,Madang Comparative Wordlists,-4.82756,144.924,0.181669013833467
yapara,utarmbung,omo,Nuclear Trans New Guinea,yapara-,yam,Madang Comparative Wordlists,-4.82756,144.924,0.151512862781189
kakr,utu,utu,Nuclear Trans New Guinea,kakʌr,yam,Madang Comparative Wordlists,-5.16422,145.544,0.701995086335597
o,utu,utu,Nuclear Trans New Guinea,ʔo,yam,Madang Comparative Wordlists,-5.16422,145.544,0.336979351155893
murk,uya,usu,Nuclear Trans New Guinea,murʌk,yam,Madang Comparative Wordlists,-5.32246,145.47,0.948898321647402
muru,uya,usu,Nuclear Trans New Guinea,muru,yam,Madang Comparative Wordlists,-5.32246,145.47,0.9977206542358
sabi,uyajitaya,,Nuclear Trans New Guinea,sa:bi,yam,Madang Comparative Wordlists,,,0.140041599291448
simbo,uyajitaya,,Nuclear Trans New Guinea,simbo,yam,Madang Comparative Wordlists,,,0.29927652176118
wta,uyajitaya,,Nuclear Trans New Guinea,wʌta,yam,Madang Comparative Wordlists,,,0.220452999100952
yagiya,uyajitaya,,Nuclear Trans New Guinea,yagiya,yam,Madang Comparative Wordlists,,,0.338792804845209
nangnggpimp,wadaginam,wdg,Nuclear Trans New Guinea,naŋʌːŋgᵊpɨmp,yam,Madang Comparative Wordlists,-4.52754,144.972,0.624217647921223
wagminip,wadaginam,wdg,Nuclear Trans New Guinea,waɣᵊmɨnɨp,yam,Madang Comparative Wordlists,-4.52754,144.972,0.854669865085563
dawaer,wagi,fad,Nuclear Trans New Guinea,dawær,yam,Madang Comparative Wordlists,-5.17834,145.726,0.944541898318316
ka,wagi,fad,Nuclear Trans New Guinea,ka,yam,Madang Comparative Wordlists,-5.17834,145.726,0.17403101123755
pr,wamas,wmc,Nuclear Trans New Guinea,pʌrʌ,yam,Madang Comparative Wordlists,-4.97757,145.541,0.798314384159852
sabir,wamas,wmc,Nuclear Trans New Guinea,sabir,yam,Madang Comparative Wordlists,-4.97757,145.541,0.713423974765241
kaut,wanambre,wnb,Nuclear Trans New Guinea,kaut,yam,Madang Comparative Wordlists,-4.78822,145.419,0.263915019488561
kiya,wanambre,wnb,Nuclear Trans New Guinea,kiya,yam,Madang Comparative Wordlists,-4.78822,145.419,0.322457196636157
kirang,waskia,wsk,Nuclear Trans New Guinea,ki:raŋ,yam,Madang Comparative Wordlists,-4.57978,145.979,0.0138496689937532
ulang,waskia,wsk,Nuclear Trans New Guinea,u:laŋ,yam,Madang Comparative Wordlists,-4.57978,145.979,0.337117535883278
ku,watiwa,,Nuclear Trans New Guinea,ku,yam,Madang Comparative Wordlists,,,0.777532776360827
kweie,watiwa,,Nuclear Trans New Guinea,kwɛie,yam,Madang Comparative Wordlists,,,0.375844217985301
soira,waube,,Nuclear Trans New Guinea,soira,yam,Madang Comparative Wordlists,,,0.027009049489741
yakia,waube,,Nuclear Trans New Guinea,yakia,yam,Madang Comparative Wordlists,,,0.0601680312892326
mi,yaben,ybm,Nuclear Trans New Guinea,mi,yam,Madang Comparative Wordlists,-4.90868,145.361,0.541083300207747
zabulamu,yaben,ybm,Nuclear Trans New Guinea,zabula:mu,yam,Madang Comparative Wordlists,-4.90868,145.361,0.802811848779532
kung,yabong,ybo,Nuclear Trans New Guinea,kuŋ,yam,Madang Comparative Wordlists,-5.61718,146.206,0.889989264708738
muleg,yabong,ybo,Nuclear Trans New Guinea,muleg,yam,Madang Comparative Wordlists,-5.61718,146.206,0.388095033075295
berang,yangulam,ynl,Nuclear Trans New Guinea,bẽraŋ,yam,Madang Comparative Wordlists,-5.52697,145.858,0.399267320890657
oo,yangulam,ynl,Nuclear Trans New Guinea,oo,yam,Madang Comparative Wordlists,-5.52697,145.858,0.885232983058524
ki,yarawata,yrw,Nuclear Trans New Guinea,kiʌ,yam,Madang Comparative Wordlists,-4.93943,145.454,0.133991681901165
di,yoidik,ydk,Nuclear Trans New Guinea,di,yam,Madang Comparative Wordlists,-4.94044,145.758,0.917449567014646
igon,yoidik,ydk,Nuclear Trans New Guinea,igon,yam,Madang Comparative Wordlists,-4.94044,145.758,0.177861428880917
afi,Agufi,,Austronesian,afi,yam,Solomon Islands Languages,,,0.797847561913036
alapa,Alu,,Austronesian,alapa,yam,Solomon Islands Languages,,,0.901334456858061
upi,Anuta,aud,Austronesian,upi,yam,Solomon Islands Languages,-11.75,169.75,0.121075649377998
uhi,Are'are (1),,Austronesian,ūhi,yam,Solomon Islands Languages,,,0.160901388322689
uhi,Are'are (2),,Austronesian,ūhi,yam,Solomon Islands Languages,,,0.740026114596399
uhi,Arosi (1),,Austronesian,uhi,yam,Solomon Islands Languages,,,0.132174249626888
uhi,Arosi (2),,Austronesian,uhi,yam,Solomon Islands Languages,,,0.02350938535787
ndungguwo,Asumboa,aua,Austronesian,nduŋguwɔ,yam,Solomon Islands Languages,-11.2969,166.499,0.719993175031839
puli,Avasö,,Austronesian,puli,yam,Solomon Islands Languages,,,0.268970489246662
auhi,Bauro (1),,Austronesian,āuhi,yam,Solomon Islands Languages,,,0.455151984571967
auhi,Bauro (2),,Austronesian,auhi,yam,Solomon Islands Languages,,,0.913460724712323
uhi,Bellona,,Austronesian,!uhi,yam,Solomon Islands Languages,,,0.709980222785801
hnufi,Blablanga,blp,Austronesian,hnufi,yam,Solomon Islands Languages,-8.15058,159.419,0.110434002085341
uwo,Buma,,Austronesian,uwɔ,yam,Solomon Islands Languages,,,0.600921364020291
uvi,Dhadhaje,,Austronesian,uvi,yam,Solomon Islands Languages,,,0.891302316136398
ifi,Dori'o,dor,Austronesian,īfi,yam,Solomon Islands Languages,-9.11536,160.897,0.589094766015588
auhi,Faghani,,Austronesian,auhi,yam,Solomon Islands Languages,,,0.279473723820808
kai,Fataleka,far,Austronesian,kai,yam,Solomon Islands Languages,-8.59041,160.861,0.501712970560581
alapa,Fauro,,Austronesian,ālapa,yam,Solomon Islands Languages,,,0.503075198454879
uvi,Ghaimuta,,Austronesian,uvi,yam,Solomon Islands Languages,,,0.601744668992214
nindi,Ghanongga,ghn,Austronesian,nindi,yam,Solomon Islands Languages,-8.02035,156.552,0.0947491422531487
uvi,Ghari,gri,Austronesian,uvi,yam,Solomon Islands Languages,-9.4791,159.917,0.726510929034143
sapu,Ghone,,Austronesian,sapu,yam,Solomon Islands Languages,,,0.176642123750538
bopa,Ghove,,Austronesian,bɔpa,yam,Solomon Islands Languages,,,0.113655627849665
auhi,Haununu,,Austronesian,auhi,yam,Solomon Islands Languages,,,0.130833371178388
kane,Hoava,hoa,Austronesian,kane,yam,Solomon Islands Languages,-8.19679,157.595,0.670385797590465
oehi,Kahua,agw,Austronesian,œhi,yam,Solomon Islands Languages,-10.6963,162.191,0.639808385657918
nomba,Katazi,,Austronesian,nomba,yam,Solomon Islands Languages,,,0.234718898660023
mingono,Kazukuru,kzk,Austronesian,miŋono,yam,Solomon Islands Languages,-8.23886,157.687,0.212943195692818
kumagi,Kia,,Austronesian,kumagi,yam,Solomon Islands Languages,,,0.29027477629477
soni,Kia,,Austronesian,sɔni,yam,Solomon Islands Languages,,,0.0981043361605298
nufihnavi,Kilokaka,,Austronesian,nufi hnavi,yam,Solomon Islands Languages,,,0.708378179847042
nufi,Kmagha,,Austronesian,nufi,yam,Solomon Islands Languages,,,0.0836975638994599
nufi,Kokota,kkk,Austronesian,nufi,yam,Solomon Islands Languages,-8.16481,159.191,0.644414022415793
uvi,Koo,,Austronesian,uvi,yam,Solomon Islands Languages,,,0.435132877044807
kane,Kusaghe,ksg,Austronesian,kane,yam,Solomon Islands Languages,-8.04056,157.463,0.38662565527468
kai,Kwai,,Austronesian,kai,yam,Solomon Islands Languages,,,0.524412231043028
laisi,Kwaio,kwd,Austronesian,laisi,yam,Solomon Islands Languages,-8.93744,160.965,0.548746364736157
ufi,Kwaio,kwd,Austronesian,ūfi,yam,Solomon Islands Languages,-8.93744,160.965,0.48626683958574
kai,Kwara'ae,kwf,Austronesian,kai,yam,Solomon Islands Languages,-8.75779,160.804,0.358822307327882
ufi,Langalanga,,Austronesian,ūfi,yam,Solomon Islands Languages,,,0.144266557434974
kai,Lau North,,Austronesian,kai,yam,Solomon Islands Languages,,,0.650050492654648
nufi,Leleghia,,Austronesian,nufi,yam,Solomon Islands Languages,,,0.165165695476211
uvi,Lengo,lgr,Austronesian,uvi,yam,Solomon Islands Languages,-9.56425,160.42,0.354582147409085
puli,Lömaumbi,,Austronesian,puli,yam,Solomon Islands Languages,,,0.877166080891191
uvi,Longgu,lgu,Austronesian,uvi,yam,Solomon Islands Languages,-9.75258,160.663,0.272807748540331
indi,Lungga,lga,Austronesian,indi,yam,Solomon Islands Languages,-8.17469,156.573,0.368388291114662
leku,Lwepe,,Austronesian,lekü,yam,Solomon Islands Languages,,,0.285412672007513
uvi,Malagheti,,Austronesian,uvi,yam,Solomon Islands Languages,,,0.687277016041508
uvi,Malango,mln,Austronesian,uvi,yam,Solomon Islands Languages,-9.61383,160.118,0.0202591367596366
leku,Malo,mla,Austronesian,lekü,yam,Solomon Islands Languages,-15.6835,167.16,0.574176519984715
@fi,Mami,,Austronesian,əfi,yam,Solomon Islands Languages,,,0.842924581969858
uhi,Marau,mvr,Austronesian,uhi,yam,Solomon Islands Languages,-1.66738,135.797,0.441365151666842
uvi,Marovo,mvo,Austronesian,uvi,yam,Solomon Islands Languages,-8.37943,157.747,0.265171018152859
kai,Mbaelelea,,Austronesian,kai,yam,Solomon Islands Languages,,,0.864486449515332
kai,Mbaengguu,,Austronesian,kai,yam,Solomon Islands Languages,,,0.478224649711485
nomba,Mbambatana,,Austronesian,nomba,yam,Solomon Islands Languages,,,0.49221301879764
uvi,Mbareke,,Austronesian,uvi,yam,Solomon Islands Languages,,,0.83351441936007
uvi,Mbirao,,Austronesian,uvi,yam,Solomon Islands Languages,,,0.0372458454949362
uvi,Moli,,Austronesian,uvi,yam,Solomon Islands Languages,,,0.944221952480683
alapa,Mono,mnh,Austronesian,alapa,yam,Solomon Islands Languages,4.57915,19.8264,0.329058760822758
ndaleku,Nanggu,,Austronesian,ndalekü,yam,Solomon Islands Languages,,,0.283478887946188
uvi,Ndi,,Austronesian,uvi,yam,Solomon Islands Languages,,,0.144946485682151
mahiri,Nduke,,Austronesian,mahiri,yam,Solomon Islands Languages,,,0.477103120494372
laiegi,Nembao,,Austronesian,laiɛγi,yam,Solomon Islands Languages,,,0.608260844154934
uvi,Nggae,,Austronesian,uvi,yam,Solomon Islands Languages,,,0.0811821200252242
uvi,Nggela,,Austronesian,uvi,yam,Solomon Islands Languages,,,0.803144522838061
uvi,Nggeri,,Austronesian,uvi,yam,Solomon Islands Languages,,,0.422406237686937
uvi,Nginia,,Austronesian,uvi,yam,Solomon Islands Languages,,,0.174414522842999
usi,Ontong Java,ojv,Austronesian,ūsi,yam,Solomon Islands Languages,-5.49029,159.701,0.662260633729036
uhi,Oroha,ora,Austronesian,ūhi,yam,Solomon Islands Languages,-9.7386,161.513,0.700296944037359
uvi,Paripao,,Austronesian,uvi,yam,Solomon Islands Languages,,,0.283864289911842
omomaiu,Pileni,,Austronesian,omomaiū,yam,Solomon Islands Languages,,,0.832667534644059
uvi,Poleo,,Austronesian,uvi,yam,Solomon Islands Languages,,,0.737808823566514
nufi,Poro,,Austronesian,nufi,yam,Solomon Islands Languages,,,0.294618319964111
auhi,Rawo,rwa,Austronesian,auhi,yam,Solomon Islands Languages,-2.84201,141.603,0.994194070081566
uponji,Reefs,,Austronesian,uponĵi,yam,Solomon Islands Languages,,,0.194965425296288
uhi,Rennell,,Austronesian,!uhi,yam,Solomon Islands Languages,,,0.995385233870818
auhi,Rihu'a,,Austronesian,auhi,yam,Solomon Islands Languages,,,0.476262724503407
vuru,Ririo,rri,Austronesian,vuru,yam,Solomon Islands Languages,-6.88927,156.92,0.776719567587322
zuand,Ririo,rri,Austronesian,zuand,yam,Solomon Islands Languages,-6.88927,156.92,0.0353814729980651
marihi,Roviana,rug,Austronesian,marihi,yam,Solomon Islands Languages,-8.20493,157.408,0.257963953155389
uhi,Sa'a (1),,Austronesian,ūhi,yam,Solomon Islands Languages,,,0.798417639233556
uhi,Sa'a (2),,Austronesian,ūhi,yam,Solomon Islands Languages,,,0.541774121005047
kumagi,Samasodu,,Austronesian,kumagi,yam,Solomon Islands Languages,,,0.445327592895747
aufi,Santa Ana,,Austronesian,aufi,yam,Solomon Islands Languages,,,0.186412953628705
afu,Santa Catalina,,Austronesian,afu,yam,Solomon Islands Languages,,,0.150218082259344
numba,Sengga,,Austronesian,numba,yam,Solomon Islands Languages,,,0.156812496994151
uhi,Sikaiana,sky,Austronesian,uhi,yam,Solomon Islands Languages,-8.38182,162.733,0.0214496899461582
uvi,Simbo,sbb,Austronesian,uvi,yam,Solomon Islands Languages,-8.26947,156.541,0.172696673648062
uvi,Talise,tlr,Austronesian,uvi,yam,Solomon Islands Languages,-9.76764,160.231,0.651577602334414
uvi,Tandai,,Austronesian,uvi,yam,Solomon Islands Languages,,,0.329995581893812
uva,Tanema,tnx,Austronesian,uva,yam,Solomon Islands Languages,-11.68,166.97,0.907059620503041
noupio,Tanimbili,,Austronesian,noupio,yam,Solomon Islands Languages,,,0.168427091096955
nufi,Tataba,,Austronesian,nufi,yam,Solomon Islands Languages,,,0.0347653409393063
oehi,Tawaroga,,Austronesian,œhi,yam,Solomon Islands Languages,,,0.524571043535034
ufi,Tikopia,tkp,Austronesian,ufi,yam,Solomon Islands Languages,-12.2766,168.822,0.817030509641619
kai,To'ambaita,,Austronesian,kai,yam,Solomon Islands Languages,,,0.32742012512459
uvi,Tolo,,Austronesian,uvi,yam,Solomon Islands Languages,,,0.0477219383170374
nomba,Tunöe,,Austronesian,nomba,yam,Solomon Islands Languages,,,0.711984341276409
mbazu,Ughele,uge,Austronesian,mbazu,yam,Solomon Islands Languages,-8.45725,157.341,0.300724495057131
uhi,Uki Ni Masi,,Austronesian,uhi,yam,Solomon Islands Languages,,,0.0555418001460846
uhi,Ulawa,,Austronesian,ūhi,yam,Solomon Islands Languages,,,0.560144490237063
sape,Vaghua,tva,Austronesian,sape,yam,Solomon Islands Languages,-6.68712,156.542,0.412812622702781
uvi,Vangunu,mpr,Austronesian,uvi,yam,Solomon Islands Languages,-8.66826,157.997,0.12373357187537
upie,Vano,,Austronesian,upie,yam,Solomon Islands Languages,,,0.733360962222363
inggama,Varisi,vrs,Austronesian,iŋgama,yam,Solomon Islands Languages,-6.83443,156.655,0.705217929537362
kai,Walade (LauS),,Austronesian,kai,yam,Solomon Islands Languages,,,0.406873482049475
mari,Mbilua,,Bilua,mari,yam,Solomon Islands Languages,,,0.141431540225315
mari,Ndovele,,Bilua,mari,yam,Solomon Islands Languages,,,0.90728160183453
uvi,Lavukaleve,lvk,Lavukaleve,uvi,yam,Solomon Islands Languages,-9.05569,159.119,0.0718149305472853
uvi,Savosavo,svs,Savosavo,uvi,yam,Solomon Islands Languages,-9.12853,159.814,0.500506599603233
mboe,Lokuru,,Touo,mbōe,yam,Solomon Islands Languages,,,0.305124543987885
mboe,Mbaniata,,Touo,mbo*e,yam,Solomon Islands Languages,,,0.263327289819618
tal@s,Ceq Wong,,Austroasiatic,taləs,the yam,The World Loanword Database,,,0.243967389523085
khoailang,Vietnamese,vie,Austroasiatic,khoai lang,the yam,The World Loanword Database,18.3887,106.757,0.429081097172531
uhi2,Hawaiian,haw,Austronesian,uhi (2),the yam,The World Loanword Database,19.6297,-155.43,0.381733779921615
ubimadu,Indonesian,ind,Austronesian,ubi madu,the yam,The World Loanword Database,-7.33458,109.716,0.912920085076611
ovy,Malagasy,plt,Austronesian,òvy,the yam,The World Loanword Database,-19.5907,47.1211,0.536572807403146
annganang,Takia,tbc,Austronesian,anŋ-anaŋ,the yam,The World Loanword Database,-4.69057,145.975,0.0813324736234639
dabel,Takia,tbc,Austronesian,dabel,the yam,The World Loanword Database,-4.69057,145.975,0.261755694346853
pikurta,Gurindji,,Pama-Nyungan,pikurta,the yam,The World Loanword Database,,,0.501979488946007
dzu,Ambakich (Agurant Dialect),,Ambakich,džuʌ,yam,TransNewGuinea.org,,,0.114942734716859
dzw@,Ambakich (Agurant Dialect),,Ambakich,dʒwə,yam,TransNewGuinea.org,,,0.130053283136959
dzo,Ambakich (Arango Dialect),,Ambakich,dʒo,yam,TransNewGuinea.org,,,0.0101565282901881
dz@,Ambakich (Ombos Dialect),,Ambakich,dʒə,yam,TransNewGuinea.org,,,0.389044339670975
dzo,Ambakich (Pangin Dialect),,Ambakich,dʒo,yam,TransNewGuinea.org,,,0.276589668962551
dzo,Ambakich (Yaut Dialect),,Ambakich,dʒo,yam,TransNewGuinea.org,,,0.0143960185024821
ere,Amto,amt,Amto-Musan,eře,yam,TransNewGuinea.org,-4.12165,141.339,0.59318355387939
re,Amto,amt,Amto-Musan,ʌře,yam,TransNewGuinea.org,-4.12165,141.339,0.256153696739365
yare,Siawi,mmp,Amto-Musan,yařɛ,yam,TransNewGuinea.org,-4.05312,141.42,0.465169667050112
wain,Ap Ma,kbx,Ap Ma,wa̠i̠n,yam,TransNewGuinea.org,-4.35147,144.085,0.233594618732912
lgask,Qaget,,Baining,ʌ lʌg̶askʌ̠,yam,TransNewGuinea.org,,,0.615773546501109
norgi,Ura,uro,Baining,Nořʌɣi,yam,TransNewGuinea.org,-4.64226,151.953,0.924097281190553
nr@k,Ura,uro,Baining,ʌ nʌřək,yam,TransNewGuinea.org,-4.64226,151.953,0.247872088322077
nr@k,Ura,uro,Baining,nʌřək,yam,TransNewGuinea.org,-4.64226,151.953,0.427330082450172
pam,Daga,dgz,Dagan,pam,yam,TransNewGuinea.org,-9.9747,149.263,0.449525754776508
wagoro,Dima,jma,Dagan,wagoro,yam,TransNewGuinea.org,-9.70322,149.605,0.982804404887102
iyao,Maiwa,mti,Dagan,i'yaᵒ,yam,TransNewGuinea.org,-9.69836,149.274,0.0104847962619297
vapole,Proto-Eleman,,Eleman,*vapole,yam,TransNewGuinea.org,,,0.698522135287414
asi,Fuyug,fuy,Goilalan,asi,yam,TransNewGuinea.org,-8.6371,147.312,0.939175156525549
kamarava,Tauade,ttd,Goilalan,kamara'va,yam,TransNewGuinea.org,-8.3486,147.094,0.296787148458271
vajaka,Ese,mcq,Koiarian,vaja|k-a,yam,TransNewGuinea.org,-9.09451,148.376,0.503818258277009
vaea,Grass Koiari,,Koiarian,vaea,yam,TransNewGuinea.org,,,0.18375597844914
vaia,Koitabu,kqi,Koiarian,vaia,yam,TransNewGuinea.org,-9.36877,147.079,0.198456204451286
vadzi,Ömie,aom,Koiarian,vadzi,yam,TransNewGuinea.org,-9.03136,148.107,0.577162508097104
vaia,Proto-Koiarian,,Koiarian,*vaia,yam,TransNewGuinea.org,,,0.309065513886197
natongo,Kol,biw,Kol (Papua New Guinea),na'toŋo,yam,TransNewGuinea.org,3.65994,12.8574,0.140636583393101
maho,Uare,ksj,Kwalean,mahɔ,yam,TransNewGuinea.org,-9.69571,147.687,0.6474293776592
weiwo,Ama,amm,Left May,we:iwɔ,yam,TransNewGuinea.org,-4.20192,141.658,0.975860821145827
wiwo,Ama,amm,Left May,wiwoʔ,yam,TransNewGuinea.org,-4.20192,141.658,0.384934392797809
kwo,Bo,bgl,Left May,kwo,yam,TransNewGuinea.org,18.1866,104.953,0.881417470399397
wo,Iteri,itr,Left May,woʔ,yam,TransNewGuinea.org,-4.11998,141.585,0.0875210908741334
wo,Iteri (Rocky Peak Dialect),,Left May,wo,yam,TransNewGuinea.org,,,0.337291472634021
ubeise,Nimo,niw,Left May,ubeise,yam,TransNewGuinea.org,-4.3582,141.578,0.218559337177101
moko,Owiniga,owi,Left May,moko,yam,TransNewGuinea.org,-4.47476,141.697,0.962768379534674
moko,Owiniga,owi,Left May,moko,yam,TransNewGuinea.org,-4.47476,141.697,0.165913193025645
papaki,Angoram,aog,Lower Sepik-Ramu,papaki,yam,TransNewGuinea.org,-4.07758,144.028,0.111681483081139
khem,Banaro,byz,Lower Sepik-Ramu,kʰɛm,yam,TransNewGuinea.org,-4.56615,144.329,0.695997007483123
moaleao,Murik,mtf,Lower Sepik-Ramu,moaleao,yam,TransNewGuinea.org,-3.86959,144.166,0.236516122355145
wawiao,Murik,mtf,Lower Sepik-Ramu,wawiao,yam,TransNewGuinea.org,-3.86959,144.166,0.0351106063825093
akuy,Tabriak,tzx,Lower Sepik-Ramu,akuʌy,yam,TransNewGuinea.org,-4.49162,143.593,0.392410110209033
iu,Bauwaki,bwk,Mailuan,i'u,yam,TransNewGuinea.org,-9.82577,148.815,0.377663927041517
obili,Mailu (Asiaoro Dialect),,Mailuan,obili,yam,TransNewGuinea.org,,,0.169249618900734
obili,Mailu (Baibara Dialect),,Mailuan,obili,yam,TransNewGuinea.org,,,0.511194770402748
obili,Mailu (Borebo Dialect),,Mailuan,obili,yam,TransNewGuinea.org,,,0.69343205352087
obili,Mailu (Darava Dialect),,Mailuan,obili,yam,TransNewGuinea.org,,,0.291679272477993
obili,Mailu (Delebai Dialect),,Mailuan,obili,yam,TransNewGuinea.org,,,0.329850363228231
obili,Mailu (Domara Dialect),,Mailuan,obili,yam,TransNewGuinea.org,,,0.947987755813361
obili,Mailu (Geagea Dialect),,Mailuan,obili,yam,TransNewGuinea.org,,,0.736997917196009
obili,Mailu (Ilai Dialect),,Mailuan,obili,yam,TransNewGuinea.org,,,0.271648352202408
obili,Mailu (Island Dialect),,Mailuan,obili,yam,TransNewGuinea.org,,,0.754649778437604
kiroma,Proto-Doromu,,Manubaran,*kiroma,yam,TransNewGuinea.org,,,0.379043198067899
saisu,Proto-Doromu,,Manubaran,*saisu,yam,TransNewGuinea.org,,,0.672623882880536
kiroma,Proto-Manubaran,,Manubaran,*kiroma,yam,TransNewGuinea.org,,,0.112575840222563
saisu,Proto-Manubaran,,Manubaran,*saisu,yam,TransNewGuinea.org,,,0.945637251025603
haihu,Proto-Maria,,Manubaran,*haihu,yam,TransNewGuinea.org,,,0.708793678156815
iroma,Proto-Maria,,Manubaran,*iroma,yam,TransNewGuinea.org,,,0.579820245229559
kaumami,Gaikundi,gbf,Ndu,kaú mami,yam,TransNewGuinea.org,-4.01718,143.139,0.220069225607326
nan,Gaikundi,gbf,Ndu,ñañ,yam,TransNewGuinea.org,-4.01718,143.139,0.995104167088925
naeng,Iatmul (Brugnowi Dialect),,Ndu,ñaʔeŋ,yam,TransNewGuinea.org,,,0.559380301708089
naen,Iatmul (Kanganaman Dialect),,Ndu,ñaʔen,yam,TransNewGuinea.org,,,0.491178346996474
naeng,Iatmul (Korogo Dialect),,Ndu,ñaʔeŋ,yam,TransNewGuinea.org,,,0.837588833362986
nain,Iatmul (Tambanam Dialect),,Ndu,ñain,yam,TransNewGuinea.org,,,0.513606201303087
wuin,Abu' Arapesh,,Nuclear Torricelli,wʌʔuin,yam,TransNewGuinea.org,,,0.552845249411097
pinai,Abaga,abg,Nuclear Trans New Guinea,pi nai,yam,TransNewGuinea.org,-6.12028,145.665,0.53695815087845
abi,Alekano,gah,Nuclear Trans New Guinea,aƀi,yam,TransNewGuinea.org,-6.03901,145.387,0.0952930217987145
asi,Alekano,gah,Nuclear Trans New Guinea,a-si,yam,TransNewGuinea.org,-6.03901,145.387,0.784759095294261
gasi,Alekano,gah,Nuclear Trans New Guinea,gasí,yam,TransNewGuinea.org,-6.03901,145.387,0.722172202025719
gasi,Alekano (Wanima Dialect),,Nuclear Trans New Guinea,gasí,yam,TransNewGuinea.org,,,0.133725119461572
gasi,Alekano (Wanima Dialect),,Nuclear Trans New Guinea,gasí,yam,TransNewGuinea.org,,,0.735198754115031
