CLICS Form,Variety,ISO CODE,Family,Form in source,Gloss in source,Dataset,latitude,longitude,Number
kuaisiraro,Pusing,,Austroasiatic,kuai sɨ ra rɔ,yam,Intercontinental Dictionary Series,,,0.988646757836222
em,Mlabri,mra,Austroasiatic,ʔe mʌ,yam,Intercontinental Dictionary Series,18.5533,101.163,0.00643207381810003
k@w31d@w33,Cuoi,,Austroasiatic,kəw.31 dəw.33,yam,Intercontinental Dictionary Series,,,0.427524048195258
khwaj33ti243,Cuoi,,Austroasiatic,khwa:j.33 tɨ.243ʔ,yam,Intercontinental Dictionary Series,,,0.754142587051107
kwaj24,Cuoi,,Austroasiatic,kwa:j.24,yam,Intercontinental Dictionary Series,,,0.827708279375815
cumai,Vietnamese,vie,Austroasiatic,cuʔ mài,yam,Intercontinental Dictionary Series,18.3887,106.757,0.996389235750646
cunau,Vietnamese,vie,Austroasiatic,cuʔ nâu,yam,Intercontinental Dictionary Series,18.3887,106.757,0.526201532506498
kou24phlu33,LiHa,,Austroasiatic,kou.24 phlu.33,yam,Intercontinental Dictionary Series,,,0.305167423799155
kwaj33phl@j33,LiHa,,Austroasiatic,kwa:j.33 phləj.33,yam,Intercontinental Dictionary Series,,,0.542431060816779
kwaj33t@i43,LiHa,,Austroasiatic,kwa:j.33 təɨ.43,yam,Intercontinental Dictionary Series,,,0.131400680856533
kwaj24,Phong,,Austroasiatic,kwa:j.24,yam,Intercontinental Dictionary Series,,,0.657017532512241
phlw33,Tum,,Austroasiatic,phlw.33,yam,Intercontinental Dictionary Series,,,0.774962395626707
kapw33,Kha Poong,,Austroasiatic,kapw.33,yam,Intercontinental Dictionary Series,,,0.744893687784031
madw33,Kha Poong,,Austroasiatic,madw.33,yam,Intercontinental Dictionary Series,,,0.0823635642423363
teng33,Kha Poong,,Austroasiatic,tɛ:ŋ.33ʔ,yam,Intercontinental Dictionary Series,,,0.173792853275234
kw434ti22,Malieng,,Austroasiatic,kw.434 tɨ.22,yam,Intercontinental Dictionary Series,,,0.00363003990207439
khuaimanonb,Ahlao Th,,Austroasiatic,khu̯ai̯ măn ʔɔnʔ.B,yam,Intercontinental Dictionary Series,,,0.865559625974028
fajthettn,Nyakur,,Austroasiatic,fâ:j the:t T+N,yam,Intercontinental Dictionary Series,,,0.789667653017142
mankew,Nyakur,,Austroasiatic,mankɛ:w,yam,Intercontinental Dictionary Series,,,0.208917194116039
olatehc,Kasong,,Austroasiatic,ʔo:l.A te:h.C,yam,Intercontinental Dictionary Series,,,0.0812023096371912
urakewa,Samre,sxm,Austroasiatic,ʔu:r.A kɛ:w.A,yam,Intercontinental Dictionary Series,13.479,103.978,0.12221786612465
tungathetc,Chong,cog,Austroasiatic,tuŋ.A the:t.C,yam,Intercontinental Dictionary Series,12.5218,102.514,0.182794002513146
tlongchwi@,KNB (a Pearic variety),,Austroasiatic,tlo:ŋ chwi:ə,yam,Intercontinental Dictionary Series,,,0.703545970955434
plaphaw,Iduh,,Austroasiatic,plâ: phâw,yam,Intercontinental Dictionary Series,,,0.916254579388997
jia31tong35,Mang Ch,,Austroasiatic,jɨa.31 toŋ.35,yam,Intercontinental Dictionary Series,,,0.673836762116041
ppnufi,Proto Polynesian,,Austronesian,PPN *ʔufi,yam,Intercontinental Dictionary Series,,,0.147753862021939
qufi,Proto Polynesian,,Austronesian,*qufi,yam,Intercontinental Dictionary Series,,,0.826460160419397
uhi,Hawaiian,haw,Austronesian,uhi,yam,Intercontinental Dictionary Series,19.6297,-155.43,0.30047079752729
